region,date,sum
Argentina,2017,2687570939
Argentina,2018,3154620138
Argentina,2019,3961321148
Argentina,2020,4382740893
Argentina,2021,5347559814
Australia,2017,3283499394
Australia,2018,4060855939
Australia,2019,4354534346
Australia,2020,4387117844
Australia,2021,4042200817
Austria,2017,333892583
Austria,2018,457834914
Austria,2019,612857119
Austria,2020,640341507
Austria,2021,658264686
Belgium,2017,544140792
Belgium,2018,641313454
Belgium,2019,823328537
Belgium,2020,970264297
Belgium,2021,904095529
Bolivia,2017,94319700
Bolivia,2018,145785505
Bolivia,2019,236252662
Bolivia,2020,314910011
Bolivia,2021,379690676
Brazil,2017,6677867793
Brazil,2018,9133616560
Brazil,2019,11105842661
Brazil,2020,12523039097
Brazil,2021,16426316020
Bulgaria,2017,6825284
Bulgaria,2018,1593312
Bulgaria,2019,22214946
Bulgaria,2020,52132756
Bulgaria,2021,79211348
Canada,2017,3125893391
Canada,2018,3883068878
Canada,2019,4153883483
Canada,2020,4296694554
Canada,2021,3868025288
Chile,2017,2123467992
Chile,2018,2944350366
Chile,2019,4004220106
Chile,2020,4102028311
Chile,2021,4028469685
Colombia,2017,813805950
Colombia,2018,965389042
Colombia,2019,1173245962
Colombia,2020,1500021146
Colombia,2021,1594370459
Costa Rica,2017,353731059
Costa Rica,2018,365316475
Costa Rica,2019,445764447
Costa Rica,2020,516445805
Costa Rica,2021,455333346
Czech Republic,2017,203176033
Czech Republic,2018,257941191
Czech Republic,2019,354891927
Czech Republic,2020,482847404
Czech Republic,2021,496837106
Denmark,2017,1479614356
Denmark,2018,1372543351
Denmark,2019,1368049019
Denmark,2020,1398716974
Denmark,2021,1121892825
Dominican Republic,2017,149841021
Dominican Republic,2018,186562285
Dominican Republic,2019,248425444
Dominican Republic,2020,288664514
Dominican Republic,2021,280233173
Ecuador,2017,309275981
Ecuador,2018,407573577
Ecuador,2019,565831034
Ecuador,2020,705964070
Ecuador,2021,695637587
Egypt,2019,9804476
Egypt,2020,103011679
Egypt,2021,202940120
El Salvador,2017,78102113
El Salvador,2018,109883321
El Salvador,2019,189197350
El Salvador,2020,279249180
El Salvador,2021,310990982
Estonia,2017,21402546
Estonia,2018,26121880
Estonia,2019,41561638
Estonia,2020,51928455
Estonia,2021,52417324
Finland,2017,1221239136
Finland,2018,1085896473
Finland,2019,1006288312
Finland,2020,952443082
Finland,2021,776745204
France,2017,3068255917
France,2018,4103821514
France,2019,5452129081
France,2020,5959047450
France,2021,5286611939
Germany,2017,5874814951
Germany,2018,7277458489
Germany,2019,9496089853
Germany,2020,9672041206
Germany,2021,7635865814
Global,2017,75248867959
Global,2018,83871067173
Global,2019,89244533337
Global,2020,95195932406
Global,2021,95743903046
Greece,2017,57279069
Greece,2018,89968363
Greece,2019,219062896
Greece,2020,371808606
Greece,2021,523673330
Guatemala,2017,171952354
Guatemala,2018,232749541
Guatemala,2019,383436552
Guatemala,2020,600645528
Guatemala,2021,644425845
Honduras,2017,89340165
Honduras,2018,93345382
Honduras,2019,150468701
Honduras,2020,217136648
Honduras,2021,224363571
Hong Kong,2017,288253782
Hong Kong,2018,289572782
Hong Kong,2019,327258535
Hong Kong,2020,358828665
Hong Kong,2021,422077405
Hungary,2017,148816924
Hungary,2018,197670940
Hungary,2019,266308702
Hungary,2020,341726064
Hungary,2021,364538430
Iceland,2017,78607588
Iceland,2018,99343933
Iceland,2019,105416212
Iceland,2020,91299891
Iceland,2021,70888951
India,2019,1313943274
India,2020,3267495348
India,2021,4974301230
Indonesia,2017,1248862891
Indonesia,2018,1800258387
Indonesia,2019,3536033914
Indonesia,2020,4549361612
Indonesia,2021,4672260854
Ireland,2017,633437984
Ireland,2018,774904105
Ireland,2019,910230156
Ireland,2020,885638271
Ireland,2021,788651221
Israel,2018,105866327
Israel,2019,272754002
Israel,2020,385374927
Israel,2021,466563005
Italy,2017,2318420960
Italy,2018,4784976103
Italy,2019,6463644503
Italy,2020,6017279984
Italy,2021,6006812529
Japan,2017,304515792
Japan,2018,641421310
Japan,2019,1334289453
Japan,2020,3298962653
Japan,2021,4198200691
Latvia,2017,32840590
Latvia,2018,42714196
Latvia,2019,49662744
Latvia,2020,67959944
Latvia,2021,67846522
Lithuania,2017,29915499
Lithuania,2018,30629557
Lithuania,2019,50502387
Lithuania,2020,78718341
Lithuania,2021,106754125
Luxembourg,2017,6012298
Luxembourg,2018,467504
Luxembourg,2019,2344073
Luxembourg,2020,3261926
Luxembourg,2021,2778646
Malaysia,2017,636855358
Malaysia,2018,688723176
Malaysia,2019,886086478
Malaysia,2020,915321864
Malaysia,2021,866412042
Mexico,2017,6178260482
Mexico,2018,7256065181
Mexico,2019,9252324947
Mexico,2020,11678777603
Mexico,2021,11230484320
Morocco,2019,18090004
Morocco,2020,125608803
Morocco,2021,272761567
Netherlands,2017,3385264314
Netherlands,2018,3816052453
Netherlands,2019,4182503215
Netherlands,2020,3979671840
Netherlands,2021,3457617587
New Zealand,2017,793173795
New Zealand,2018,856365506
New Zealand,2019,851585172
New Zealand,2020,865063406
New Zealand,2021,724863794
Nicaragua,2017,8335651
Nicaragua,2018,279698
Nicaragua,2019,31112297
Nicaragua,2020,83755660
Nicaragua,2021,103745963
Norway,2017,1971852434
Norway,2018,1820723707
Norway,2019,1735763227
Norway,2020,1693332729
Norway,2021,1460286232
Panama,2017,127442932
Panama,2018,168039524
Panama,2019,256960428
Panama,2020,278356478
Panama,2021,267968503
Paraguay,2017,161153652
Paraguay,2018,261330108
Paraguay,2019,412470544
Paraguay,2020,618563863
Paraguay,2021,667240168
Peru,2017,1047472995
Peru,2018,1353853362
Peru,2019,1816846449
Peru,2020,1889171624
Peru,2021,1779425375
Philippines,2017,3241421071
Philippines,2018,3467089600
Philippines,2019,4081571771
Philippines,2020,4000302402
Philippines,2021,3995581253
Poland,2017,763473517
Poland,2018,1216950237
Poland,2019,1757662749
Poland,2020,2279660175
Poland,2021,2821381057
Portugal,2017,430359422
Portugal,2018,459039520
Portugal,2019,593881289
Portugal,2020,666963600
Portugal,2021,665629395
Romania,2018,67502645
Romania,2019,177798442
Romania,2020,248795484
Romania,2021,252246469
Russia,2020,564508230
Russia,2021,1561729901
Saudi Arabia,2019,91030312
Saudi Arabia,2020,228163658
Saudi Arabia,2021,250247626
Singapore,2017,744304847
Singapore,2018,789213580
Singapore,2019,895473772
Singapore,2020,806284144
Singapore,2021,720959791
Slovakia,2017,41300733
Slovakia,2018,72959407
Slovakia,2019,139776971
Slovakia,2020,199675788
Slovakia,2021,194395742
South Africa,2018,38560847
South Africa,2019,154700805
South Africa,2020,252712515
South Africa,2021,349128456
South Korea,2021,160064720
Spain,2017,3667338121
Spain,2018,4687972603
Spain,2019,5715834005
Spain,2020,6456390158
Spain,2021,6534665053
Sweden,2017,3306216382
Sweden,2018,2957392443
Sweden,2019,3089861934
Sweden,2020,2904289542
Sweden,2021,2502600968
Switzerland,2017,473344596
Switzerland,2018,635262063
Switzerland,2019,752085853
Switzerland,2020,804564204
Switzerland,2021,734858709
Taiwan,2017,433914893
Taiwan,2018,452636188
Taiwan,2019,697970943
Taiwan,2020,906169262
Taiwan,2021,801676191
Thailand,2017,54246596
Thailand,2018,324612327
Thailand,2019,712388897
Thailand,2020,1151560903
Thailand,2021,1027852187
Turkey,2017,897287305
Turkey,2018,1433759741
Turkey,2019,2805243052
Turkey,2020,3449183711
Turkey,2021,4041980967
Ukraine,2020,103412215
Ukraine,2021,333264348
United Arab Emirates,2019,33493079
United Arab Emirates,2020,107877940
United Arab Emirates,2021,163635143
United Kingdom,2017,7031797779
United Kingdom,2018,7700533164
United Kingdom,2019,7756376595
United Kingdom,2020,7357028347
United Kingdom,2021,6563064164
United States of America,2017,25764218998
United States of America,2018,30786047524
United States of America,2019,29792480436
United States of America,2020,28693228141
United States of America,2021,27096111305
Uruguay,2017,188975099
Uruguay,2018,217599844
Uruguay,2019,275421513
Uruguay,2020,309588645
Uruguay,2021,331440950
Vietnam,2018,63494060
Vietnam,2019,243142896
Vietnam,2020,466621801
Vietnam,2021,614377202
